1440584449513655
senttime	lost packets	senttime
1440584470031061	687	1440584470381385
1440584482210541	671	1440584482540029
1440584482560734	146	1440584482629903
1440584489621920	744	1440584489972828
1440584502047208	647	1440584502377251
1440584502401172	135	1440584502470396
1440584509637353	688	1440584509988020
1440584522014778	652	1440584522346401
1440584522369642	141	1440584522439309
1440584529642693	687	1440584529993101
1440584541962179	646	1440584542292096
1440584542313934	135	1440584542383220
1440584549639746	713	1440584549989498
1440584561758988	648	1440584562090084
1440584562111030	133	1440584562179389
1440584569584690	689	1440584569936708
1440584581983209	680	1440584582313021
1440584582335149	146	1440584582404333
1440584589592598	690	1440584589944149
1440584602133094	662	1440584602463451
1440584602487449	140	1440584602556917
1440584609540374	696	1440584609891311
1440584621880438	647	1440584622210477
1440584622231841	135	1440584622301124
1440584629540043	688	1440584629890863
1440584641954735	647	1440584642284657
1440584642308579	135	1440584642377898
1440584649594238	688	1440584649944850
1440584661938307	646	1440584662267874
1440584662288747	135	1440584662358058
1440584669652787	691	1440584670004923
1440584681901914	650	1440584682233411
1440584682257404	135	1440584682326565
1440584689660788	689	1440584690011703
1440584701847661	651	1440584702179656
1440584702201543	135	1440584702270844
1440584709627181	688	1440584709977926
1440584721908331	647	1440584722238313
1440584722262250	135	1440584722331561
1440584729921587	690	1440584730273231
1440584742170324	647	1440584742500219
1440584742522649	135	1440584742591861
1440584749620257	731	1440584749970704
1440584762022277	676	1440584762351691
1440584762375175	135	1440584762444652
1440584769678973	691	1440584770031177
1440584782081201	647	1440584782411283
1440584782435706	135	1440584782504940
1440584789698403	2488	1440584790965562
1440584802031765	646	1440584802361473
1440584802383869	136	1440584802453576
1440584809737138	688	1440584810088013
1440584821998181	646	1440584822327654
1440584822348520	135	1440584822417598
1440584829679787	690	1440584830031516
1440584842267699	649	1440584842598780
1440584842620704	135	1440584842690017
1440584849719435	690	1440584850070120
1440584862010919	650	1440584862342613
1440584862365530	135	1440584862434731
1440584869574465	699	1440584869926124
1440584881965037	647	1440584882295173
1440584882318121	134	1440584882386879
1440584889667984	693	1440584890019722
1440584902015365	650	1440584902347161
1440584902370127	135	1440584902439485
1440584909642715	687	1440584909993155
1440584921989839	650	1440584922321331
1440584922342778	135	1440584922412089
1440584929581876	686	1440584929932044
1440584942039012	649	1440584942370631
1440584942391062	135	1440584942460425
1440584949661405	692	1440584950013022
1440584961905410	665	1440584962235181
1440584962255892	142	1440584962324919
1440584969621215	690	1440584969972959
1440584982308151	652	1440584982637881
1440584982660299	135	1440584982729520
1440584989607772	691	1440584989960141
1440585002020807	647	1440585002350767
1440585002372639	135	1440585002441813
1440585009632592	687	1440585009982743
1440585022054130	649	1440585022384918
1440585022404787	135	1440585022474120
1440585029639549	689	1440585029989670
1440585041932643	647	1440585042262739
1440585042285662	135	1440585042354912
